Target,template,EF1,EF5,EF10
ADRB2,3p0g,11.11111111111111,2.2222222222222223,2.7777777777777777
ADRB2,3pds,0.0,1.1111111111111112,1.6666666666666665
ADRB2,3sn6,0.0,1.1111111111111112,1.6666666666666665
ADRB2,4lde,11.11111111111111,2.2222222222222223,1.6666666666666665
ADRB2,4ldl,11.11111111111111,3.333333333333333,2.2222222222222223
ADRB2,4ldo,0.0,5.555555555555555,3.333333333333333
ADRB2,4qkx,5.555555555555555,3.333333333333333,1.6666666666666665
ADRB2,6mxt,11.11111111111111,3.333333333333333,2.7777777777777777
ALDH1,4wp7,1.3253348214285714,1.4676339285714286,1.4969308035714286
ALDH1,4wpn,1.2834821428571428,1.400669642857143,1.4411272321428572
ALDH1,4x4l,1.646205357142857,1.5318080357142858,1.4815848214285716
ALDH1,5ac2,1.548549107142857,1.439732142857143,1.4369419642857144
ALDH1,5l2m,1.3950892857142856,1.3727678571428572,1.459263392857143
ALDH1,5l2n,1.5345982142857142,1.46484375,1.4801897321428572
ALDH1,5l2o,1.4369419642857142,1.5625,1.527622767857143
ALDH1,5tei,1.4090401785714284,1.5625,1.5304129464285716
ESR1_ago,1l2i,15.384615384615383,3.0769230769230766,3.0769230769230766
ESR1_ago,2b1v,0.0,3.0769230769230766,3.846153846153846
ESR1_ago,2b1z,7.692307692307692,4.615384615384615,3.846153846153846
ESR1_ago,2p15,7.692307692307692,6.153846153846153,3.0769230769230766
ESR1_ago,2q70,0.0,6.153846153846153,3.846153846153846
ESR1_ago,2qr9,7.692307692307692,4.615384615384615,3.846153846153846
ESR1_ago,2qse,0.0,4.615384615384615,3.846153846153846
ESR1_ago,2qzo,15.384615384615383,4.615384615384615,3.846153846153846
ESR1_ago,4ivw,15.384615384615383,4.615384615384615,3.0769230769230766
ESR1_ago,4pps,15.384615384615383,4.615384615384615,3.846153846153846
ESR1_ago,5drj,23.076923076923077,6.153846153846153,3.846153846153846
ESR1_ago,5du5,15.384615384615383,6.153846153846153,3.846153846153846
ESR1_ago,5due,7.692307692307692,4.615384615384615,3.0769230769230766
ESR1_ago,5dzi,15.384615384615383,6.153846153846153,3.846153846153846
ESR1_ago,5e1c,7.692307692307692,3.0769230769230766,3.846153846153846
ESR1_ant,1xp1,2.941176470588235,2.1568627450980395,1.9607843137254903
ESR1_ant,1xqc,2.941176470588235,1.9607843137254903,2.2549019607843137
ESR1_ant,2ayr,1.9607843137254901,2.3529411764705883,1.9607843137254903
ESR1_ant,2iog,3.9215686274509802,1.9607843137254903,1.6666666666666667
ESR1_ant,2iok,0.9803921568627451,2.1568627450980395,1.5686274509803924
ESR1_ant,2ouz,3.9215686274509802,1.7647058823529413,1.8627450980392157
ESR1_ant,2pog,2.941176470588235,1.9607843137254903,1.8627450980392157
ESR1_ant,2r6w,1.9607843137254901,2.1568627450980395,1.9607843137254903
ESR1_ant,3dt3,0.0,1.9607843137254903,1.4705882352941178
ESR1_ant,5aau,0.0,1.3725490196078431,1.5686274509803924
ESR1_ant,5fqv,2.941176470588235,2.5490196078431375,1.8627450980392157
ESR1_ant,5t92,1.9607843137254901,2.3529411764705883,1.9607843137254903
ESR1_ant,5ufx,1.9607843137254901,2.1568627450980395,1.6666666666666667
ESR1_ant,6b0f,1.9607843137254901,1.1764705882352942,1.9607843137254903
ESR1_ant,6chw,2.941176470588235,2.1568627450980395,1.9607843137254903
FEN1,5fv7,1.0840108401084012,1.3550135501355014,1.1382113821138211
GBA,2v3d,6.024096385542169,4.096385542168674,2.8915662650602405
GBA,2v3e,8.433734939759036,4.216867469879518,2.8915662650602405
GBA,2xwd,13.855421686746988,4.939759036144578,3.1325301204819276
GBA,2xwe,2.4096385542168677,2.5301204819277108,2.048192771084337
GBA,3rik,2.4096385542168677,3.2530120481927707,3.4337349397590358
GBA,3ril,4.819277108433735,2.650602409638554,2.831325301204819
IDH1,4i3k,2.564102564102564,4.615384615384616,3.076923076923077
IDH1,4i3l,2.564102564102564,2.5641025641025643,2.307692307692308
IDH1,4umx,7.692307692307692,5.128205128205129,3.076923076923077
IDH1,4xrx,0.0,4.102564102564103,3.076923076923077
IDH1,4xs3,7.692307692307692,5.128205128205129,3.3333333333333335
IDH1,5de1,10.256410256410255,4.102564102564103,2.307692307692308
IDH1,5l57,10.256410256410255,4.615384615384616,2.8205128205128207
IDH1,5l58,2.564102564102564,4.102564102564103,3.076923076923077
IDH1,5lge,2.564102564102564,4.615384615384616,4.102564102564103
IDH1,5sun,2.564102564102564,2.5641025641025643,2.5641025641025643
IDH1,5svf,10.256410256410255,5.641025641025641,3.3333333333333335
IDH1,5tqh,5.128205128205128,2.5641025641025643,1.794871794871795
IDH1,6adg,7.692307692307692,2.5641025641025643,2.0512820512820515
IDH1,6b0z,2.564102564102564,1.5384615384615385,2.307692307692308
KAT2A,5h84,1.0309278350515465,1.2371134020618557,1.0309278350515465
KAT2A,5h86,2.577319587628866,1.6494845360824744,1.1855670103092784
KAT2A,5mlj,0.5154639175257733,1.3402061855670104,0.9793814432989691
MAPK1,1pme,1.2987012987012987,1.0389610389610389,1.3311688311688312
MAPK1,2ojg,0.974025974025974,1.2987012987012987,1.2337662337662338
MAPK1,3sa0,0.974025974025974,0.974025974025974,1.2662337662337662
