file,EF1,EF5,EF10,Target,template
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_3p0g,5.555555555555555,2.2222222222222223,2.7777777777777777,ADRB2,3p0g
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_3pds,0.0,1.1111111111111112,1.6666666666666665,ADRB2,3pds
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_3sn6,0.0,0.0,0.5555555555555556,ADRB2,3sn6
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_4lde,5.555555555555555,2.2222222222222223,1.6666666666666665,ADRB2,4lde
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_4ldl,5.555555555555555,2.2222222222222223,2.2222222222222223,ADRB2,4ldl
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_4ldo,0.0,1.1111111111111112,1.1111111111111112,ADRB2,4ldo
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_4qkx,11.11111111111111,3.333333333333333,2.2222222222222223,ADRB2,4qkx
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ADRB2_6mxt,5.555555555555555,2.2222222222222223,2.7777777777777777,ADRB2,6mxt
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ALDH1_4wp7,1.5904017857142856,1.4815848214285716,1.50390625,ALDH1,4wp7
/home/koji-shiota/project/MSECIF/3.Output/20230524_LIT-PCBA_msecifv2_BestGBTParam/predictions/msecifv2_thresh10.0_step2.0/ALDH1_4wpn,1.5066964285714284,1.5234375,1.4955357142857144,ALDH1,4wpn
